error_distribution,day,avg_price,price_volatility,milp_net_profit,ppo_net_profit,milp_arbitrage,ppo_arbitrage,milp_flexibility,ppo_flexibility,milp_degradation,ppo_degradation,milp_fcr_revenue,milp_afrr_revenue,milp_mfrr_revenue,ppo_fcr_revenue,ppo_afrr_revenue,ppo_mfrr_revenue,milp_exec_time,ppo_exec_time,milp_utilization,ppo_utilization,milp_cumulative,ppo_cumulative,milp_throughput_cum,ppo_throughput_cum,ppo_arbitrage_throughput,ppo_activation_throughput,ppo_total_throughput
ornstein-uhlenbeck,1,105.71458333333334,12.461424804560762,4446.1488,2187.8730193590814,177.24,0.0,4368.9088,2198.470296250682,100.0,10.597276891600876,0.0,4368.9088,0.0,0.0,2198.470296250682,0.0,0.20671367645263672,0.035825252532958984,0.5,0.0,4446.1488,2187.8730193590814,48.0,5.08669290796842,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,2,107.2975,13.202076304506049,4028.617040000001,2187.8730193590814,188.64600000000002,0.0,3939.971040000001,2198.470296250682,100.0,10.597276891600876,0.0,3939.971040000001,0.0,0.0,2198.470296250682,0.0,0.24384140968322754,0.04554343223571777,0.5,0.0,8474.76584,4375.746038718163,96.0,10.17338581593684,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,3,94.00600875000002,21.950640093234814,4019.392750000001,2187.8730193590814,170.94443,0.0,3948.448320000001,2198.470296250682,100.0,10.597276891600876,0.0,3948.448320000001,0.0,0.0,2198.470296250682,0.0,0.21457457542419434,0.0449981689453125,0.5,0.0,12494.158590000001,6563.619058077244,144.0,15.26007872390526,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,4,91.17174250000001,23.70879803805018,4433.844000000001,2187.8730193590814,171.7768,0.0,4362.067200000001,2198.470296250682,100.0,10.597276891600876,0.0,4362.067200000001,0.0,0.0,2198.470296250682,0.0,0.20743656158447266,0.04276919364929199,0.5,0.0,16928.002590000004,8751.492077436325,192.0,20.34677163187368,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,5,104.05439041666666,14.491650374708156,4443.486089999999,2187.8730193590814,171.67329,0.0,4371.8128,2198.470296250682,100.0,10.597276891600876,0.0,4371.8128,0.0,0.0,2198.470296250682,0.0,0.1939866542816162,0.04500126838684082,0.5,0.0,21371.488680000002,10939.365096795407,240.0,25.4334645398421,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,6,100.73541666666667,7.889122775044272,4409.7699999999995,2187.8730193590814,155.13,0.0,4354.639999999999,2198.470296250682,100.0,10.597276891600876,0.0,4354.639999999999,0.0,0.0,2198.470296250682,0.0,0.21515870094299316,0.03235006332397461,0.5,0.0,25781.258680000003,13127.238116154489,288.0,30.52015744781052,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,7,97.11214083333334,8.31807857097114,4406.599200000001,2187.8730193590814,145.356,0.0,4361.243200000001,2198.470296250682,100.0,10.597276891600876,0.0,4361.243200000001,0.0,0.0,2198.470296250682,0.0,0.18604373931884766,0.029249906539916992,0.5,0.0,30187.857880000003,15315.11113551357,336.0,35.60685035577894,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,8,108.11229208333333,13.901934222454734,4452.51689,2187.8730193590814,181.90569,0.0,4370.6112,2198.470296250682,100.0,10.597276891600876,0.0,4370.6112,0.0,0.0,2198.470296250682,0.0,0.16103839874267578,0.0195620059967041,0.5,0.0,34640.37477,17502.98415487265,384.0,40.69354326374736,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,9,108.68318208333335,16.557528236516507,4035.5701400000007,2187.8730193590814,194.55077999999997,0.0,3941.019360000001,2198.470296250682,100.0,10.597276891600876,0.0,3941.019360000001,0.0,0.0,2198.470296250682,0.0,0.21276450157165527,0.03699827194213867,0.5,0.0,38675.944910000006,19690.857174231733,432.0,45.78023617171578,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,10,113.25864083333333,15.951957108119185,4060.9426024000004,2187.8730193590814,213.0184424,0.0,3947.9241600000005,2198.470296250682,100.0,10.597276891600876,0.0,3947.9241600000005,0.0,0.0,2198.470296250682,0.0,0.25366854667663574,0.03899502754211426,0.5,0.0,42736.887512400004,21878.730193590814,480.0,50.8669290796842,0.0,5.08669290796842,5.08669290796842
